q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,variant,lambda_per_node,M,selected
0.2125,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.25,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.2875,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.325,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.3625,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.4,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.6,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.8,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
1,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
0.0125,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,1
0.0171875,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.021875,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.025,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.0265625,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.03125,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.0359375,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.040625,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.0453125,fine,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.05,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.1,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.2,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.4,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.6,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.8,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
1,coarse,2,405.144164759725,2.9862700228833,6.06521739130435,399.078947368421,1,unslotted,1,1,0
0.025,coarse,2,9762.21967963387,155.306636155607,479.430205949657,9282.78947368421,1,batch_clear,1,1,0
0.05,coarse,2,3841.24942791762,634.881006864989,222.260869565217,3618.9885583524,1,batch_clear,1,1,0
0.1,coarse,2,2541.10983981693,217.153318077803,162,2379.10983981693,1,batch_clear,1,1,0
0.2,coarse,2,1532.75972540046,25.0228832951946,34.0434782608696,1498.71624713959,1,batch_clear,1,1,0
0.4,coarse,2,756.391304347826,9.39130434782606,7.04347826086957,749.347826086957,1,batch_clear,1,1,0
0.6,coarse,2,678.006864988558,58.5720823798627,7.04347826086957,670.963386727689,1,batch_clear,1,1,0
0.8,coarse,2,542.080091533181,17.3409610983982,11.3478260869565,530.732265446224,1,batch_clear,1,1,0
0.825,fine,2,542.080091533181,17.3409610983982,11.3478260869565,530.732265446224,1,batch_clear,1,1,0
0.85,fine,2,526.448512585812,1.70938215102973,11.3478260869565,515.100686498856,1,batch_clear,1,1,0
0.875,fine,2,521.237986270023,3.50114416475975,11.3478260869565,509.890160183066,1,batch_clear,1,1,0
0.9,fine,2,526.448512585812,1.70938215102973,11.3478260869565,515.100686498856,1,batch_clear,1,1,0
0.925,fine,2,517.839816933638,10.3180778032036,7.04347826086957,510.796338672769,1,batch_clear,1,1,0
0.95,fine,2,508.324942791762,9.41189931350112,7.04347826086957,501.281464530892,1,batch_clear,1,1,1
