variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
unslotted,3,5,990,1,3,1353.3746458258,9.61191745355909,2.29411764705882,4.49647058823529,1351.08052817874,5.11544686532388,2127.93229179635,0.666666666666667,0.666666666666667,85.6666666666667,1.20064041745731,2.27373675443232e-13
batch_clear,3,5,990,0.9,3,1444.49725610998,8.46392689317432,1.6,3.136,1442.89725610998,10.5799525198023,2217.15,1,1,0,1.20848261589928,2.27373675443232e-13
baseline,3,6,1188,0.825,3,1663.32738723834,68.6087264542834,2.31764705882353,4.54258823529412,1661.00974017952,67.8077316390816,2487.15,0.793010752688172,0.666666666666667,51.3333333333333,1.11523464893826,0
fast_first,3,6,1188,0.6,3,1640.10991094624,34.0077568618152,2.08866223908918,3.44024454196095,1638.02124870715,37.4192176587233,2522.4,1,1,0,1.09880519654444,0
unslotted,3,6,1188,0.85,3,1841.30738828139,488.838308384525,3.14954481373955,5.51120775833514,1838.15784346766,491.766071057238,3287.55996794003,1,1,0,1.67610022088119,2.27373675443232e-13
batch_clear,3,6,1188,0.6,3,1785.59136764909,28.6933682255531,2.69829222011385,3.71469195898975,1782.89307542898,31.6467300579095,2914.95,1,1,0,1.08122138882781,2.27373675443232e-13
baseline,5,1,198,0.825,3,581.075906735751,5.92722279792752,0.425,0.833,580.650906735751,5.09422279792749,929.25,0.666666666666667,0.666666666666667,153,1.1503166378814,0
fast_first,5,1,198,0.2,3,555.224542199957,13.2167812566142,1.06053540587219,1.33526729528829,554.164006794084,12.7237424487233,752.7,1,1,0,1.05555701705892,0
unslotted,5,1,198,0.4,3,537.940518540787,31.8076108384953,0.607836352548174,0.599764692280745,537.332682188239,32.4061158265179,1401.55239034189,1,1,0,1.17580767124054,1.13686837721616e-13
batch_clear,5,1,198,0.9,3,595.229019879897,6.52183233247343,0,0,595.229019879897,6.52183233247343,841.95,0.55462962962963,0.333333333333333,193.666666666667,1.32758471177402,0
baseline,5,2,396,0.925,3,759.466533466534,64.0671328671329,0,0,759.466533466534,64.0671328671329,1057.725,0.174827288428325,0,337.333333333333,1.14529914529915,0
fast_first,5,2,396,0.6,3,760.605962552471,22.162927268532,0.65,1.274,759.955962552471,21.0864989470102,1141.2,1,1,0,1.10975976061846,1.13686837721616e-13
unslotted,5,2,396,0.35,3,782.084962312735,25.7328726403903,1.72055411893249,2.09976061846464,780.364408193802,23.8082829662573,2090.62106421598,1,1,0,1.17992069120213,1.13686837721616e-13
batch_clear,5,2,396,0.825,3,882.363896103896,113.374036363636,0.33,0.6468,882.033896103896,114.020836363636,2000.925,0.344271732872769,0,276.333333333333,1.4784632034632,0
