protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
s7_clean,fixed_payload,15,3.75,4,760,1,1,13,25.4124094723494,13,25.4124094723494,0,0,0,0,1009.24545454545,192.556757229121,0,0,1009.24545454545,192.556757229121,1009.24545454545,192.556757229121,962,0,1482.9,2294.74057535315,1608,3659.38696401831,962,0,1482.9,2294.74057535315,1608,3659.38696401831,3.68181818181818,4.04288332514649,36,0,0,0,47.5636363636364,188.513873903974,0,0,162,0,760,0,0,0,130,254.124094723494,130,254.124094723494,520,1016.49637889398,520,1016.49637889398,NaN,NaN,0.10237,0.238495462897999,0.135965,0.33817563905329,0.033595,0.0996801761552905,0.10237,0.238495462897999,-0.558055805580555,11.055503670839,1,0,0.0274326485422562,0.348564848833431,0.238628762541806,0.0754298107247829,14,38.1186142085241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3024012,0
s7_busy,fixed_payload,15,3.75,4,760,0.5,1,13,25.4124094723494,13,25.4124094723494,0,0,0,0,3373.73636363636,286.351650372521,0,0,3373.73636363636,286.351650372521,3373.73636363636,286.351650372521,2944,5362.01839866572,7492.925,11350.7703459433,7841,15615.9256207587,2944,5362.01839866572,7492.925,11350.7703459433,7841,15615.9256207587,3.68181818181818,4.04288332514649,83.8909090909091,181.583216775151,19.5818181818182,40.8908770600531,2129.07272727273,667.422281505612,215.509090909091,817.12447548818,162,0,760,0,0,0,130,254.124094723494,130,254.124094723494,520,1016.49637889398,520,1016.49637889398,NaN,NaN,0.0988,0.193134311989855,0.516395,1.81450956734943,0.417595,1.62137525535957,0.0988,0.193134311989855,-8.21482148214822,17.6125610204401,1,0,0.118719660194175,1.50847630863627,0.238628762541806,0.0754298107247829,35,63.5310236808735,16.5,31.7655118404367,2.33030303030303,5.0439782437542,6205.5,10006.1362297376,2898,4002.45449189503,6205.5,10006.1362297376,2646,3201.96359351602,5638.5,7604.66353460056,7.7394228,0
sf_cf,fixed_payload,15,3,5,950,0.5,1,10,0,10,0,0,0,0,0,2620.5,7515.72010144733,0,0,2620.5,7515.72010144733,2620.5,7515.72010144733,2686.25,9418.47426068949,4697.5,19345.196710826,4697.5,19345.196710826,2686.25,9418.47426068949,4697.5,19345.196710826,4697.5,19345.196710826,483,876.728126796054,0,0,1187.5,6638.99197465128,0,0,0,0,0,0,950,0,0,0,100,0,100,127.062047361747,500,0,500,635.310236808735,NaN,NaN,0.095,0.12070894499366,0.26805,0.35132656095523,0.17305,0.47203550594889,0.095,0.12070894499366,-6.55865586558656,66.7142462895461,1,0,0.121113033344831,0.443154090315029,0.213333333333333,0.148239055255372,11,12.7062047361747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1987402,0
sf_cb,fixed_payload,15,3,5,950,0.5,1,10,0,10,0,0,0,0,0,1556.5,1658.1597180708,0,0,1556.5,1658.1597180708,1556.5,1658.1597180708,1325,95.2965355213102,3065,8640.21922059879,3065,8640.21922059879,1325,95.2965355213102,3065,8640.21922059879,3065,8640.21922059879,150.5,514.601291815075,0,0,218.5,1569.21628491757,47.5,603.544724968298,0,0,190,0,950,0,0,0,100,0,105,63.5310236808735,500,0,525,317.655118404368,NaN,NaN,0.09975,0.0603544724968298,0.16205,0.247135682118598,0.0623,0.186781209621768,0.09975,0.0603544724968298,-0.306030603060304,11.5129727882532,1,0,0.0352617079889808,0.448042481055194,0.225833333333333,0.307066614457555,11,12.7062047361747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1714103,0
sb_cf,fixed_payload,15,3,5,950,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.686655,0
sb_cb,fixed_payload,15,3,5,950,1,1,10,0,10,0,0,0,0,0,1239,368.479937349066,0,0,1239,368.479937349066,1239,368.479937349066,1155,0,1995,3684.79937349066,1995,3684.79937349066,1155,0,1995,3684.79937349066,1995,3684.79937349066,0,0,15.75,9.52965355213102,0,0,79.25,308.125464852236,4,50.8248189446988,190,0,950,0,0,0,100,0,105,63.5310236808735,500,0,525,317.655118404368,NaN,NaN,0.09975,0.0603544724968298,0.129575,0.108955705612698,0.029825,0.0486012331158682,0.09975,0.0603544724968298,-1.06810681068107,3.20228382189817,1,0,0.0410785378212089,0.521952311818974,0.225833333333333,0.307066614457555,11.5,19.059307104262,0.5,6.35310236808735,1.05,0.635310236808735,10,127.062047361747,10,127.062047361747,10,127.062047361747,10,127.062047361747,10,127.062047361747,4.9812744,0
s7_clean,fixed_payload,15,3,5,950,0.5,1,10,0,10,0,0,0,0,0,1240.15,364.032765691405,0,0,1240.15,364.032765691405,1240.15,364.032765691405,1154.5,31.7655118404367,2000.5,3602.20904270553,2000.5,3602.20904270553,1154.5,31.7655118404367,2000.5,3602.20904270553,2000.5,3602.20904270553,3.5,3.81186142085241,36,0,4.5,11.4355842625572,84.15,371.65648853311,0,0,162,0,950,0,0,0,100,0,105,63.5310236808735,500,0,525,317.655118404368,NaN,NaN,0.09975,0.0603544724968298,0.1297,0.108638050494294,0.02995,0.048283577997464,0.09975,0.0603544724968298,-1.06810681068107,3.20228382189817,1,0,0.041121157323689,0.52249384394324,0.225833333333333,0.307066614457555,11,12.7062047361747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9513362,0
s7_busy,fixed_payload,15,3,5,950,0.5,1,10,0,10,0,0,0,0,0,3779.5,10539.7968286569,0,0,3779.5,10539.7968286569,3779.5,10539.7968286569,3389.25,7468.07183368668,8836,35221.5995286763,8836,35221.5995286763,3389.25,7468.07183368668,8836,35221.5995286763,8836,35221.5995286763,3.5,3.81186142085241,73.8,114.355842625572,21.15,165.81597180708,2398.95,9748.83558383003,170.1,514.601291815075,162,0,950,0,0,0,100,0,100,127.062047361747,500,0,500,635.310236808735,NaN,NaN,0.095,0.12070894499366,0.39195,0.706592045378675,0.29695,0.827300990372334,0.095,0.12070894499366,-12.5232523252325,131.06490213912,1,0,0.0763586996192546,0.591507376075699,0.213333333333333,0.148239055255372,22,12.7062047361747,10.5,31.7655118404367,2.05,3.17655118404367,4788,3201.96359351602,2173.5,1200.73634756851,4788,3201.96359351602,1984.5,400.245449189503,4410,1600.98179675801,9.1717195,0
sf_cf,fixed_payload,15,2.5,6,1140,0.5,1,7.5,6.35310236808735,7.5,6.35310236808735,0,0,0,0,4050.40178571429,11486.0687367322,0,0,4050.40178571429,11486.0687367322,4050.40178571429,11486.0687367322,4142.5,14453.3078873987,6667.5,7909.61244826875,6667.5,7909.61244826875,4142.5,14453.3078873987,6667.5,7909.61244826875,6667.5,7909.61244826875,691.473214285714,153.722387656399,0,0,1933.92857142857,8018.52277457882,0,0,285,3621.26834980979,0,0,1140,0,0,0,75,63.5310236808735,75,63.5310236808735,450,381.186142085241,450,381.186142085241,NaN,NaN,0.0855,0.0724253669961958,0.3083,1.11878132702018,0.2,0.756654492039203,0.1083,0.362126834980979,-11.4671467146715,121.30556096762,1,0,0,0,0.155681818181818,0.563115891716833,10,25.4124094723494,2,25.4124094723494,1.25,3.17655118404367,1140,14485.0733992392,1140,14485.0733992392,2280,28970.1467984783,1140,14485.0733992392,2280,28970.1467984783,0.2120976,0
sf_cb,fixed_payload,15,2.5,6,1140,1,1,7.5,6.35310236808735,7.5,6.35310236808735,0,0,0,0,1451.47321428571,153.7223876564,0,0,1451.47321428571,153.7223876564,1451.47321428571,153.7223876564,1445,254.124094723494,1530,317.655118404367,1530,317.655118404367,1445,254.124094723494,1530,317.655118404367,1530,317.655118404367,121.473214285714,153.722387656399,0,0,0,0,0,0,0,0,190,0,1140,0,0,0,75,63.5310236808735,75,63.5310236808735,450,381.186142085241,450,381.186142085241,NaN,NaN,0.0855,0.0724253669961958,0.1088,0.0806844000747093,0.0233,0.00825903307851352,0.0855,0.0724253669961958,-2.53825382538254,38.1986713040715,1,0,6.02596083708834e-17,7.65670921282152e-16,0.155681818181818,0.563115891716833,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14225,0
sb_cf,fixed_payload,15,2.5,6,1140,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7506094,0
sb_cb,fixed_payload,15,2.5,6,1140,1,1,7.5,6.35310236808735,7.5,6.35310236808735,0,0,0,0,1354.6875,123.091358381692,0,0,1354.6875,123.091358381692,1354.6875,123.091358381692,1345,0,1422.5,984.730867053539,1422.5,984.730867053539,1345,0,1422.5,984.730867053539,1422.5,984.730867053539,0,0,15,0,0,0,9.6875,123.091358381692,0,0,190,0,1140,0,0,0,75,63.5310236808735,75,63.5310236808735,450,381.186142085241,450,381.186142085241,NaN,NaN,0.0855,0.0724253669961958,0.10165,0.0952965355213102,0.01615,0.0228711685251144,0.0855,0.0724253669961958,-2.53825382538254,38.1986713040715,1,0,0,0,0.155681818181818,0.563115891716833,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1464285,0
s7_clean,fixed_payload,15,2.5,6,1140,1,1,7.5,6.35310236808735,7.5,6.35310236808735,0,0,0,0,1351.04464285714,118.553428118772,0,0,1351.04464285714,118.553428118772,1351.04464285714,118.553428118772,1340.5,6.35310236808735,1418.5,921.199843372665,1418.5,921.199843372665,1340.5,6.35310236808735,1418.5,921.199843372665,1418.5,921.199843372665,3.48214285714286,2.9496546708977,36,0,0,0,9.5625,121.503082789671,0,0,162,0,1140,0,0,0,75,63.5310236808735,75,63.5310236808735,450,381.186142085241,450,381.186142085241,NaN,NaN,0.0855,0.0724253669961958,0.101375,0.0947247563081823,0.015875,0.0222993893119865,0.0855,0.0724253669961958,-2.53825382538254,38.1986713040715,1,0,7.38808976140037e-17,9.38745811175892e-16,0.155681818181818,0.563115891716833,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8028758,0
s7_busy,fixed_payload,15,2.5,6,1140,0.5,1,7.5,6.35310236808735,7.5,6.35310236808735,0,0,0,0,3657.61607142857,7804.67281093873,0,0,3657.61607142857,7804.67281093873,3657.61607142857,7804.67281093873,2515.5,1213.44255230468,8992.5,29916.7590513233,8992.5,29916.7590513233,2515.5,1213.44255230468,8992.5,29916.7590513233,8992.5,29916.7590513233,3.48214285714286,2.9496546708977,50.4642857142857,12.2524117098828,27.3214285714286,61.2620585494137,2209.25892857143,7673.07283331407,65.0892857142857,55.1358526944723,162,0,1140,0,0,0,75,63.5310236808735,75,63.5310236808735,450,381.186142085241,450,381.186142085241,NaN,NaN,0.0855,0.0724253669961958,0.27125,0.352978367570933,0.18575,0.425403734567129,0.0855,0.0724253669961958,-16.1656165616562,33.2427558654195,1,0,9.28186991794432e-17,1.17937339511942e-15,0.155681818181818,0.563115891716833,11,0,3,0,1.40178571428571,0.340344769718965,3339,4002.45449189503,1575,2401.47269513702,3339,4002.45449189503,1165.5,2001.22724594751,2488.5,2801.71814432652,6.7807745,0
sf_cf,fixed_payload,30,30,1,190,0.05,1,119,63.5310236808735,119,63.5310236808735,0,0,0,0,4931.06465761177,6634.68646243521,576.290676287493,1051.84382521897,4354.77398132428,5582.84263721625,4931.06465761177,6634.68646243521,3926.25,9386.70874884906,13171.75,244.594441171363,20855.8,16449.4526514517,3926.25,9386.70874884906,13171.75,244.594441171363,20855.8,16449.4526514517,78.8331211092247,168.081264476584,0,0,4035.56451612903,5534.37191774835,0,0,50.3763440860215,216.551983944483,0,0,190,0,0,0,1190,635.310236808735,1240,635.310236808735,1190,635.310236808735,1240,635.310236808735,NaN,NaN,0.23535,0.123885496177703,6.136325,12.102342356088,5.837325,11.6525427084274,0.299,0.449799647660584,-29.4209420942094,354.614810848776,1,0,0.0382611482437866,0.0996133834925995,0.765396525184063,0.00970367532326038,177,190.59307104262,32,152.474456834096,1.26513865308432,1.13974728391833,3135,13277.9839493026,3135,13277.9839493026,6555,30177.2362484149,3040,14485.0733992392,6365,32591.4151482881,0.2192102,0
sf_cb,fixed_payload,30,30,1,190,0.05,1,119,63.5310236808735,119,63.5310236808735,0,0,0,0,9216.3603565365,2997.09491808603,1931.53331918506,463.687486292216,7284.82703735144,2533.40743179381,9216.3603565365,2997.09491808603,6318.75,3160.66842812346,30954,13582.9328629708,39063.95,8822.5532585632,6318.75,3160.66842812346,30954,13582.9328629708,39063.95,8822.5532585632,111.708757781551,52.9649910921826,0,0,5279.09946236559,1875.01911019438,1430.57795698925,479.727541719284,83.4408602150538,125.695788787965,190,0,190,0,0,0,1190,635.310236808735,1165,190.59307104262,1190,635.310236808735,1165,190.59307104262,NaN,NaN,0.2211,0.0393892346821416,10.834625,0.4297873752011,10.613525,0.469176609883241,0.2211,0.0393892346821416,55.4875487548755,578.927168087456,1,0,0.0197819490061622,0.142744960278151,0.738682856871948,0.0545689717696971,204.5,19.059307104262,52,50.8248189446988,1.43916242218449,0.66155678309455,5510,4828.35779974638,5510,4828.35779974638,11780,9656.71559949277,4750,0,10165,1207.0894499366,0.2120857,0
sb_cf,fixed_payload,30,30,1,190,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7449061,0
