protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
s7_clean,fixed_packet,5,5,3,594,0.5,1,stable,203.666666666667,204,0.00163666121112767,0.05,pass,6.3676851217176e-05,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,3,594,0.6,1,stable,203.666666666667,202.333333333333,0.00654664484452043,0.05,pass,0.00784754063727219,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,4,792,0.4,1,stable,203.666666666667,202.333333333333,0.00654664484452043,0.05,pass,0.00849974294679158,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,4,792,0.5,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0.00158908522238167,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,4,792,0.00149534878122122,1,stable,203.666666666667,200.666666666667,0.0147299509001636,0.05,pass,0.00742045779118539,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,4,792,0.4,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.000198801478843774,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,4,792,0.5,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0.000129959070194007,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,4,792,0.5,1,stable,203.666666666667,203,0.00327332242226022,0.05,pass,0.0103320090865546,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,5,990,0.4,0.333333333333333,mixed,203.666666666667,117.333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,5,5,5,990,0.5,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00198775009209202,0.05,pass,2,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,5,990,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,5,990,0.5,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00201494028127545,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,5,990,0.6,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0.000589455504965115,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,5,990,0.5,1,stable,203.666666666667,202.666666666667,0.00490998363338788,0.05,pass,0.00599849850820757,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,6,1188,0.2,1,stable,203.666666666667,200.666666666667,0.0147299509001636,0.05,pass,0.0244676784466829,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,6,1188,0.5,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00275504728603465,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,6,1188,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,6,1188,0.4,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00195889006233749,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,6,1188,0.5,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00121531097804147,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,6,1188,0.5,1,stable,203.666666666667,203,0.00327332242226022,0.05,pass,0.0141767104236402,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,10,10,1,198,0.5,1,stable,383,383.333333333333,0.000870322019146145,0.05,pass,0.00193611541689488,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,10,10,1,198,0.4,1,stable,383,383,0,0.05,pass,0.000995622196488078,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,10,10,1,198,0.01,1,stable,383,384,0.00261096605744125,0.05,pass,0.00132095703963224,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,10,10,1,198,0.6,1,stable,383,383,0,0.05,pass,0.00118882922910803,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,10,10,1,198,0.6,1,stable,383,383,0,0.05,pass,0.00119208934652677,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,10,10,1,198,0.4,1,stable,383,382.666666666667,0.000870322019146145,0.05,pass,0.00178937773690982,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
