protocol,study_type,M,Tp_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cb,saturation_throughput,8,1584,0.025,fixed_theoretical_q,0,3,0.747575333333333,0.00460263442808332,472,2.99394945403782,3776,23.9515956323025,NaN,0.915079068871714,0.0657953333333333,NaN,NaN,0.1321298,0
sb_cf,saturation_throughput,8,1584,5.92507172723973e-05,maximum_payload_airtime,0,3,0.194458666666667,0.0160929225809167,123,10.184458748505,984,81.47566998804,NaN,0.764317328267796,0.147186,NaN,NaN,13.3712227,0
sb_cb,saturation_throughput,8,1584,0.00121152765862859,maximum_payload_airtime,0,3,0.681229666666667,0.0136623713723855,430.333333333333,8.49333333333333,3442.66666666667,67.9466666666667,NaN,0.924203625869237,0.090729,NaN,NaN,47.7113768,0
s7_clean,saturation_throughput,8,1584,0.0104004191152595,maximum_payload_airtime,0,3,0.866518666666667,0.00169662591002785,547.333333333333,1.30666666666667,4378.66666666667,10.4533333333333,NaN,0.911737208009146,0.00811433333333333,0,0,12.6097842,0
s7_busy,saturation_throughput,8,1584,0.05,maximum_payload_airtime,0,3,0.561792,0.0045109373386914,354.666666666667,2.84781397644657,2837.33333333333,22.7825118115726,NaN,0.901754672599611,0.0933293333333333,435,0.688856333333333,30.3960542,0
sf_cf,saturation_throughput,10,1980,0.025,fixed_theoretical_q,0,3,0.386753333333333,0.00518094569145226,195.333333333333,2.61333333333333,1953.33333333333,26.1333333333333,NaN,0.856892296997627,0.259373333333333,NaN,NaN,0.0615724,0
sf_cb,saturation_throughput,10,1980,0.025,fixed_theoretical_q,0,3,0.783868666666667,0.0086200792077206,396.333333333333,4.28419316921064,3963.33333333333,42.8419316921064,NaN,0.911758295430535,0.0561,NaN,NaN,0.1200176,0
sb_cf,saturation_throughput,10,1980,3.79769610462371e-05,maximum_payload_airtime,0,3,0.183278333333333,0.0324893971094845,92.6666666666667,16.4115460711185,926.666666666667,164.115460711185,NaN,0.707592827244218,0.110838,NaN,NaN,13.6370914,0
sb_cb,saturation_throughput,10,1980,0.000562341325190349,one_se_tie_collision_fairness_q,0,3,0.712405666666667,0.00839509332523337,360,4.08006535895362,3600,40.8006535895362,NaN,0.916545204517141,0.028893,NaN,NaN,44.871846,0
s7_clean,saturation_throughput,10,1980,0.009,maximum_payload_airtime,0,3,0.890458666666667,0.00142921964168481,450,1.13160652761167,4500,11.3160652761167,NaN,0.903194904378221,0.005691,0,0,11.8654435,0
s7_busy,saturation_throughput,10,1980,0.05,maximum_payload_airtime,0,3,0.592516,0.00784487202618371,300,4.08006535895362,3000,40.8006535895362,NaN,0.894081278858568,0.077217,373,0.737332,26.7001376,0
sf_cf,saturation_throughput,15,2970,0.025,fixed_theoretical_q,0,3,0.365963333333333,0.0287319250231825,123.333333333333,9.88672735427542,1850,148.300910314131,NaN,0.727095250261755,0.26928,NaN,NaN,0.0469929,0
sf_cb,saturation_throughput,15,2970,0.025,fixed_theoretical_q,0,3,0.841750666666667,0.0122265887836705,283.666666666667,3.97407151979484,4255,59.6110727969226,NaN,0.86964724296179,0.0432233333333333,NaN,NaN,0.1030012,0
sb_cf,saturation_throughput,15,2970,3.04041948840996e-05,maximum_payload_airtime,0,3,0.186476333333333,0.0366343748090257,63,12.7525579133495,945,191.288368700243,NaN,0.606468547528903,0.132773333333333,NaN,NaN,13.1849584,0
sb_cb,saturation_throughput,15,2970,0.000825404185268018,maximum_payload_airtime,0,3,0.761503,0.0159301745242417,257,4.93255849771022,3855,73.9883774656534,NaN,0.87185540544968,0.0813,NaN,NaN,40.1392614,0
s7_clean,saturation_throughput,15,2970,0.0126514899795262,maximum_payload_airtime,0,3,0.922285666666667,0.00160265862721227,310.666666666667,0.653333333333333,4660,9.8,NaN,0.860026978016644,0.005712,0,0,10.7713701,0
s7_busy,saturation_throughput,15,2970,0.0584803547642573,maximum_payload_airtime,0,3,0.64435,0.0200434322651186,217.333333333333,6.91423009291546,3260,103.713451393732,NaN,0.856411813401143,0.073101,264.333333333333,0.784144,21.2781532,0
sf_cf,saturation_throughput,20,3960,0.025,fixed_theoretical_q,0,3,0.346493333333333,0.0449714576559152,87.6666666666667,11.55864659513,1753.33333333333,231.172931902601,NaN,0.662955069777188,0.2838,NaN,NaN,0.0401031,0
sf_cb,saturation_throughput,20,3960,0.025,fixed_theoretical_q,0,3,0.880486,0.00414961394329641,222.666666666667,1.30666666666667,4453.33333333333,26.1333333333333,NaN,0.85370347294543,0.032406,NaN,NaN,0.0846364,0
sb_cf,saturation_throughput,20,3960,3.04041948840996e-05,maximum_payload_airtime,0,3,0.20592,0.0161570588214563,52,4.08006535895362,1040,81.6013071790724,NaN,0.578897914377019,0.206217333333333,NaN,NaN,12.9880048,0
sb_cb,saturation_throughput,20,3960,0.000562341325190349,maximum_payload_airtime,0,3,0.800659666666667,0.0220082093876667,202.333333333333,5.58208244694079,4046.66666666667,111.641648938816,NaN,0.815092082711,0.0524093333333333,NaN,NaN,40.0733617,0
s7_clean,saturation_throughput,20,3960,0.0106706799134702,maximum_payload_airtime,0,3,0.940327,0.000542364264309516,238,0,4760,0,NaN,0.862237237830941,0.00378,0,0,10.2857051,0
s7_busy,saturation_throughput,20,3960,0.076472449133173,maximum_payload_airtime,0,3,0.658108,0.0276932388222397,167,6.88329378519712,3340,137.665875703942,NaN,0.800691363874582,0.097125,195.333333333333,0.770527,18.3517829,0
