protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_source,cca_variant,cca_mode,rx_sens_dbm,n_eval_runs,stable_fraction,mean_delay_us,p95_delay_us,normalized_goodput_units_s,backlog_slope_pkt_s,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,harmful_missed_opportunities,false_alarm_opportunities,late_start_handshake,late_start_data,late_start_attempts,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_channel_time_us,collision_tx_airtime_us
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-52dBm,directional,-52,1,0,NaN,NaN,0,1198.46338535414,648029,537787,0.829881070137293,83025,229007,0,22,0.733921520869654,0,229007,0,NaN,NaN,5234,5211,NaN,NaN,NaN,NaN,NaN,NaN,154800,2977830
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-57dBm,directional,-57,1,0,NaN,NaN,0,1198.46338535414,769671,403394,0.524112250559005,248745,184929,0,22,0.426423995904758,0,184929,0,NaN,NaN,4154,4136,NaN,NaN,NaN,NaN,NaN,NaN,154800,2364220
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-67dBm,directional,-67,1,0,NaN,NaN,0,1198.46338535414,1023486,160657,0.15697039334197,585610,86833,14785,283,0.129130647504696,0.981218476241041,86833,14785,NaN,NaN,1902,1898,NaN,NaN,NaN,NaN,NaN,NaN,154800,1083885
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-72dBm,directional,-72,1,0,NaN,NaN,0,1198.46338535414,1101091,103298,0.0938142260721412,669559,56387,39394,1936,0.0776738214688145,0.953157512702637,56387,39394,NaN,NaN,1187,1193,NaN,NaN,NaN,NaN,NaN,NaN,154575,681530
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,disabled,disabled,-62,1,0,NaN,NaN,0,1198.46338535414,586077,117878,0.201130568167664,0,250080,0,22,1,0,250080,0,NaN,NaN,5783,5756,NaN,NaN,NaN,NaN,NaN,NaN,154800,3290335
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,oracle,oracle,-62,1,1,1754.48529411765,4767.49999999999,3900,30.3481392557023,326118,310863,0.953222453222453,13266,0,0,3174,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,directional,directional,-62,1,0,NaN,NaN,0,1198.46338535414,877601,184987,0.210787134472272,469510,71957,54,25,0.132892678593525,0.683544303797468,71957,54,NaN,NaN,1594,1581,NaN,NaN,NaN,NaN,NaN,NaN,154810,1812170
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,directional_-52dBm,directional,-52,1,0,NaN,NaN,0,1198.46338535414,562738,432651,0.768832031958034,95510,131148,0,25,0.578616241209223,0,131148,0,NaN,NaN,2989,2962,NaN,NaN,NaN,NaN,NaN,NaN,154810,3393460
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,directional_-57dBm,directional,-57,1,0,NaN,NaN,0,1198.46338535414,711443,305987,0.430093486055805,271737,103626,0,25,0.276068765435059,0,103626,0,NaN,NaN,2328,2310,NaN,NaN,NaN,NaN,NaN,NaN,154810,2646630
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,directional_-67dBm,directional,-67,1,0,NaN,NaN,0,1198.46338535414,1007993,111708,0.110822198170027,608427,46699,16706,106,0.0712824708529352,0.99369497977635,46699,16706,NaN,NaN,1019,1011,NaN,NaN,NaN,NaN,NaN,NaN,154810,1157335
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,directional_-72dBm,directional,-72,1,0,NaN,NaN,0,1198.46338535414,1096087,63446,0.0578840913175688,692476,29008,38089,779,0.0402060198147152,0.979957805907173,29008,38089,NaN,NaN,624,623,NaN,NaN,NaN,NaN,NaN,NaN,154785,713305
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,disabled,disabled,-62,1,0,NaN,NaN,0,1198.46338535414,480268,82076,0.170896249593977,0,144188,0,25,1,0,144188,0,NaN,NaN,3355,3325,NaN,NaN,NaN,NaN,NaN,NaN,154810,3807640
sb_cf,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,oracle,oracle,-62,1,1,18007.2058823529,41065.5,5040,360.336134453782,665211,629673,0.946576349459044,152607,0,0,5335,0,0,0,0,NaN,NaN,4,13,NaN,NaN,NaN,NaN,NaN,NaN,9120,14820
