protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,30,15,2,380,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,182824,170834,0.934417800726382,47,462,4,1173,0.907662082514735,0.00339847068819031,1177,876,319,96,94,462,4,NaN,NaN,22,10,NaN,9,18,44,3,0,1760,1647,7,106,0,4,1716,1607,109,11,47,40,6470,161.75,3,1710,570,1940,1755,1940
sb_cb,fixed_payload,30,10,3,570,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,123522,116350,0.94193746862907,4,24,0,323,0.857142857142857,0,323,25,24,0,4,24,0,NaN,NaN,0,0,NaN,0,0,21,0,0,840,840,0,0,0,0,819,819,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,30,7.5,4,760,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,117900,112572,0.954809160305343,0,7,0,531,1,0,531,5,5,0,2,7,0,NaN,NaN,0,0,NaN,1,2,16,0,0,640,640,0,0,0,0,624,624,0,0,1,1,185,185,0,0,NaN,20,20,20
sb_cb,fixed_payload,30,6,5,950,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,97306,93182,0.957618235257846,0,0,0,145,NaN,0,145,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,11,0,0,440,440,0,0,0,0,429,429,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,30,5,6,1140,0.025,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,92952,89480,0.962647387899131,0,15,0,388,1,0,388,15,15,0,0,15,0,NaN,NaN,0,0,NaN,0,0,9,0,0,360,360,0,0,0,0,351,351,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,5,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,40848,38006,0.930424990207599,0,34,0,329,1,0,329,39,18,16,0,34,0,NaN,NaN,1,0,NaN,0,0,14,0,0,560,553,1,6,0,0,546,539,7,0,1,1,185,185,0,0,NaN,20,20,20
sb_cb,fixed_payload,5,2.5,2,380,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,30800,28784,0.934545454545455,0,0,0,155,NaN,0,155,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,7,0,0,280,280,0,0,0,0,273,273,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,1.66666666666667,3,570,0.025,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,29410,27472,0.934104046242775,0,0,0,109,NaN,0,109,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,5,0,0,200,200,0,0,0,0,195,195,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cf,fixed_packet,15,15,1,190,0.05,1,directional,-62,AP single-user lock or a start that is physically undecodable/harmful,925101,507344,0.548420118451931,149114,138514,235,1359,0.481573421224637,0.147427854454203,NaN,287596,NaN,NaN,NaN,138514,235,23,0,NaN,NaN,5637,546,1137,0,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5636,NaN,NaN,NaN,NaN,NaN,NaN,1071720,139580,1071720
sb_cf,fixed_packet,15,15,2,380,0.05,1,directional,-62,AP single-user lock or a start that is physically undecodable/harmful,916562,335333,0.365859592695311,267862,98402,192,190,0.268664132975122,0.50261780104712,NaN,366256,NaN,NaN,NaN,98402,192,2,0,NaN,NaN,3899,291,600,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3885,NaN,NaN,NaN,NaN,NaN,NaN,1478965,150305,1478965
