q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.3,coarse,3,1572.11571185479,29.1962360774373,15.2977878615995,1556.81792399319,1,1,batch_clear,1,4,0
0.4,coarse,3,1421.17300056722,43.1362823569327,14.7889960294952,1406.38400453772,1,1,batch_clear,1,4,0
0.5,coarse,3,1301.90130459444,47.6599032229359,8.85876347135564,1293.04254112309,1,1,batch_clear,1,4,0
0.6,coarse,3,1236.98695405559,20.3703588976561,8.85876347135564,1228.12819058423,1,1,batch_clear,1,4,0
0.65,fine,3,1232.60692002269,11.5294941426922,8.85876347135564,1223.74815655133,1,1,batch_clear,1,4,0
0.7,coarse,3,1185.73681225184,19.8036207982293,8.85876347135564,1176.87804878049,1,1,batch_clear,1,4,1
0.01,coarse,3,23103.1650595576,1514.3181780197,1202.33976176971,21900.8252977879,1,1,baseline,1,5,0
0.025,coarse,3,9398.89960294952,282.514679101821,183.163357912649,9215.73624503687,1,1,baseline,1,5,0
0.05,coarse,3,5457.65513329552,211.610017263689,80.8638684061259,5376.79126488939,1,1,baseline,1,5,0
0.1,coarse,3,3332.7022121384,89.3504571647897,50.3159387407828,3282.38627339762,1,1,baseline,1,5,0
0.2,coarse,3,2102.39931934203,30.68407031855,14.8638684061259,2087.5354509359,1,1,baseline,1,5,0
0.3,coarse,3,1806.84061259217,44.5305821395866,41.5558706749858,1765.28474191719,1,1,baseline,1,5,0
0.4,coarse,3,1587.31480431083,27.258861790392,15.2229154849688,1572.09188882586,1,1,baseline,1,5,0
0.5,coarse,3,1527.94100964265,16.3380036079913,12.0034032898469,1515.93760635281,1,1,baseline,1,5,0
0.5625,fine,3,1479.91038003403,21.3279515288483,12.0034032898469,1467.90697674419,1,1,baseline,1,5,0
0.6,coarse,3,1456.28814520703,13.2156291738949,15.1480431083381,1441.1401020987,1,1,baseline,1,5,0
0.625,fine,3,1434.42541123086,14.4142929495395,12.0034032898469,1422.42200794101,1,1,baseline,1,5,1
0.01,coarse,3,1478.97447532615,140.348970266981,12.0034032898469,1466.9710720363,1,1,fast_first,1,5,0
0.025,coarse,3,1429.07203630176,90.946882520812,12.0034032898469,1417.06863301191,1,1,fast_first,1,5,0
0.05,coarse,3,1343.75496313103,16.4997823682434,12.0034032898469,1331.75155984118,1,1,fast_first,1,5,0
0.1,coarse,3,1343.75496313103,16.4997823682434,12.0034032898469,1331.75155984118,1,1,fast_first,1,5,0
0.2,coarse,3,1343.75496313103,16.4997823682434,12.0034032898469,1331.75155984118,1,1,fast_first,1,5,0
0.3,coarse,3,1335.70618264322,16.4040452301962,12.0034032898469,1323.70277935338,1,1,fast_first,1,5,0
0.4,coarse,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.425,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.45,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.475,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.5,coarse,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,1
0.525,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.55,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.575,fine,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.6,coarse,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.7,coarse,3,1318.82246171299,4.80084790023712,12.0034032898469,1306.81905842314,1,1,fast_first,1,5,0
0.01,coarse,3,1658.08743067744,363.326844367998,10.3119682359614,1647.77546244148,1,1,unslotted,1,5,0
0.025,coarse,3,1390.45947595787,141.854318885626,10.3119682359614,1380.14750772191,1,1,unslotted,1,5,0
0.05,coarse,3,1350.43241224006,72.1959339055938,10.3119682359614,1340.1204440041,1,1,unslotted,1,5,0
0.1,coarse,3,1290.82029006785,40.9456635407213,10.3119682359614,1280.50832183189,1,1,unslotted,1,5,0
0.125,fine,3,1278.8978656334,34.6995062912789,10.3119682359614,1268.58589739744,1,1,unslotted,1,5,0
0.15,fine,3,1270.94958267711,30.5371073652952,10.3119682359614,1260.63761444115,1,1,unslotted,1,5,0
0.175,fine,3,1265.27223770833,27.5652063941756,10.3119682359614,1254.96026947236,1,1,unslotted,1,5,0
0.2,coarse,3,1261.01422898174,25.337210195048,10.3119682359614,1250.70226074578,1,1,unslotted,1,5,0
0.225,fine,3,1268.60650865348,27.3324879801412,10.3119682359614,1258.29454041752,1,1,unslotted,1,5,0
0.25,fine,3,1265.02016294979,25.5339733318618,10.3119682359614,1254.70819471383,1,1,unslotted,1,5,1
0.275,fine,3,1262.08588010131,24.0666030870271,10.3119682359614,1251.77391186535,1,1,unslotted,1,5,0
0.3,coarse,3,1259.64064439425,22.8472009357514,10.3119682359614,1249.32867615829,1,1,unslotted,1,5,0
0.4,coarse,3,1252.91624619983,19.5147470516986,10.3119682359614,1242.60427796387,1,1,unslotted,1,5,0
