protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
sf_cf,fixed_packet,15,3,0.1,0.1,1,14322.2214471639,48419.4166666667,174230,0,587.666666666667,580.666666666667,1,24.5515165515166,0
sf_cf,fixed_packet,15,3,0.1,0.2,0,NaN,NaN,1036830,1,587.666666666667,43,0.0660085916390053,596.573368573369,596.666666666667
sf_cf,fixed_packet,15,3,0.1,0.5,0,NaN,NaN,1146080,1,587.666666666667,0,0,600.897652897653,677.333333333333
sb_cf,fixed_packet,15,3,NaN,0.0001,0,NaN,NaN,131711.666666667,1,587.666666666667,366.333333333333,0.515283475124618,218.449854449855,285
sb_cf,fixed_packet,15,3,NaN,0.0002,0,NaN,NaN,347553.333333333,1,587.666666666667,401.333333333333,0.588910107530547,189.168065168065,241
sb_cf,fixed_packet,15,3,NaN,0.0005,0,NaN,NaN,825060,1,587.666666666667,216.333333333333,0.288998484557368,421.324017324017,421.666666666667
sb_cf,fixed_packet,15,3,NaN,0.001,0,NaN,NaN,1098111.66666667,1,587.666666666667,52,0.046626282248125,548.761640761641,616.333333333333
sb_cf,fixed_packet,15,3,NaN,0.002,0,NaN,NaN,1166901.66666667,1,587.666666666667,5,0.000562113546936481,594.680930680931,686.333333333333
sb_cf,fixed_packet,15,3,NaN,0.005,0,NaN,NaN,1180435,1,587.666666666667,0,0,600.897652897653,699.666666666667
sb_cf,fixed_packet,15,3,NaN,0.01,0,NaN,NaN,1163771.66666667,1,587.666666666667,0,0,600.897652897653,692.333333333333
s7_busy,fixed_packet,15,3,0.2,0.005,0,NaN,NaN,39669,1,587.666666666667,311.666666666667,0.392626861760828,276.783060783061,357.666666666667
s7_busy,fixed_packet,15,3,0.2,0.01,0.333333333333333,296838.954314721,806608.1,59556,0.666666666666667,587.666666666667,433,0.748499276790982,160.952780952781,147
s7_busy,fixed_packet,15,3,0.2,0.025,1,97727.7670870439,284420.766666667,74508,0,587.666666666667,550,1,45.1082611082611,0
s7_busy,fixed_packet,15,3,0.2,0.05,1,38491.4448775078,121130.266666667,80073,0,587.666666666667,577.333333333333,1,29.1217291217291,0
s7_busy,fixed_packet,15,3,0.2,0.1,1,19042.3099188678,59126.4999999999,85218,0,587.666666666667,581.333333333333,1,22.967942967943,0
s7_busy,fixed_packet,15,3,0.2,0.2,1,11536.9865164384,36051.6333333333,105147,0,587.666666666667,587.333333333333,1,13.7774337774338,0
