protocol,load_mode,lambda_base,M,q,tune_stable_fraction,mean_arrival_rate,mean_goodput_rate,mean_completion_ratio,mean_final_backlog,mean_backlog_slope,mean_conditional_delay_us
sb_cf,fixed_packet,15,5,0.01,0,587.666666666667,0,0,710.333333333333,600.897652897653,NaN
sf_cf,fixed_packet,15,6,0.005,0,587.666666666667,145,0.108051632166475,546.333333333333,450.602334602335,450491.935844252
sf_cf,fixed_packet,15,6,0.01,0,587.666666666667,224.666666666667,0.24014385454315,459,358.04029004029,387477.984532828
sf_cf,fixed_packet,15,6,0.025,0,587.666666666667,315.333333333333,0.417598910884189,344.333333333333,280.244476244476,289960.304175605
sf_cf,fixed_packet,15,6,0.05,0,587.666666666667,256.666666666667,0.342263546595155,390.333333333333,363.529555529556,309044.443545612
sf_cf,fixed_packet,15,6,0.1,0,587.666666666667,72.3333333333333,0.0466337646247897,600.666666666667,534.944806944807,458774.495450786
sf_cf,fixed_packet,15,6,0.2,0,587.666666666667,2.33333333333333,0,690.666666666667,597.529389529389,NaN
sf_cf,fixed_packet,15,6,0.5,0,587.666666666667,0,0,700.333333333333,600.897652897653,NaN
sb_cf,fixed_packet,15,6,0.0001,0,587.666666666667,208.333333333333,0.219535237532115,466.666666666667,392.826500826501,369955.32257326
sb_cf,fixed_packet,15,6,0.0002,0,587.666666666667,125,0.109818449450326,553.666666666667,490.740222740223,400894.217256103
sb_cf,fixed_packet,15,6,0.0005,0,587.666666666667,24,0.0080205916452318,670,574.699518699519,551903.880952381
sb_cf,fixed_packet,15,6,0.001,0,587.666666666667,2.33333333333333,0.00114793662836589,699.333333333333,597.187477187477,574630
sb_cf,fixed_packet,15,6,0.002,0,587.666666666667,0,0,707.333333333333,600.897652897653,NaN
sb_cf,fixed_packet,15,6,0.005,0,587.666666666667,0,0,710.333333333333,600.897652897653,NaN
sb_cf,fixed_packet,15,6,0.01,0,587.666666666667,0,0,710.333333333333,600.897652897653,NaN
s7_busy,fixed_packet,15,6,0.005,0,587.666666666667,187.666666666667,0.178019091438573,496.666666666667,413.713933713934,424414.530612245
s7_busy,fixed_packet,15,6,0.01,0,587.666666666667,277.666666666667,0.330404168613511,396.333333333333,321.060205060205,356800.992186122
s7_busy,fixed_packet,15,6,0.025,0,587.666666666667,397.666666666667,0.573635530878265,250.666666666667,199.242491242491,225241.595156295
s7_busy,fixed_packet,15,6,0.05,0,587.666666666667,428,0.648933483283975,206.333333333333,177.276109276109,177838.483370959
s7_busy,fixed_packet,15,6,0.1,0,587.666666666667,352.666666666667,0.527832167056499,277.666666666667,299.279883279883,188858.009791566
s7_busy,fixed_packet,15,6,0.2,0,587.666666666667,45,0.0387710540859438,595,573.318625318626,346185.652941176
s7_busy,fixed_packet,15,6,0.5,0,587.666666666667,0,0,681.333333333333,600.897652897653,NaN
sb_cb,fixed_payload,15,1,0.0005,1,595.666666666667,602.666666666667,1,0,-10.7782947782948,16977.7931264325
sb_cb,fixed_payload,15,1,0.001,1,595.666666666667,597.666666666667,1,0,-3.46355146355146,7848.64606725427
sb_cb,fixed_payload,15,1,0.002,1,595.666666666667,597,1,0,-1.24690124690125,4095.44782524236
sb_cb,fixed_payload,15,1,0.005,1,595.666666666667,596,1,0,-0.201168201168201,1787.91437468211
sb_cb,fixed_payload,15,1,0.01,1,595.666666666667,595.666666666667,1,0,-0.276368276368276,1115.64673323835
sb_cb,fixed_payload,15,1,0.02,1,595.666666666667,596,1,0,-0.223540223540224,801.07925723508
sb_cb,fixed_payload,15,1,0.05,1,595.666666666667,595.666666666667,1,0,-0.211092211092211,631.775477391725
sb_cb,fixed_payload,15,1,0.1,1,595.666666666667,595.666666666667,1,0,-0.195712195712196,550.69802577265
sb_cb,fixed_payload,15,1,0.2,0.666666666666667,595.666666666667,461.333333333333,0.783494105037513,134.666666666667,209.394125394125,559.529451267069
sb_cf,fixed_payload,15,4,0.0001,1,135.333333333333,138.666666666667,1,0,5.28070528070528,73839.1908146584
sb_cf,fixed_payload,15,4,0.0002,1,135.333333333333,138.666666666667,1,0,3.07616307616308,34021.3298399157
sb_cf,fixed_payload,15,4,0.0005,1,135.333333333333,137,1,0,1.54812554812555,13309.167890799
sb_cf,fixed_payload,15,4,0.001,1,135.333333333333,136.333333333333,1,0,0.978444978444979,7665.53777616818
sb_cf,fixed_payload,15,4,0.002,1,135.333333333333,135.333333333333,1,0,-0.514712514712515,4250.50541287335
sb_cf,fixed_payload,15,4,0.005,0.333333333333333,135.333333333333,43.6666666666667,0.351598173515982,98,101.106277106277,2364.80182926829
sb_cf,fixed_payload,15,4,0.01,0,135.333333333333,11.3333333333333,0.0827250608272506,138,140.078088078088,3162.05882352941
