q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.55,fine,3,667.374970889613,11.658489743253,0,667.374970889613,1,1,sb_cb,3,2,0
0.575,fine,3,667.753276997804,12.4607457335674,0,667.753276997804,1,1,sb_cb,3,2,0
0.6,coarse,3,660.175298589394,9.31515691061299,0,660.175298589394,1,1,sb_cb,3,2,0
0.625,fine,3,663.183773870517,13.0978742631475,0,663.183773870517,1,1,sb_cb,3,2,0
0.65,fine,3,662.173223434693,12.9262497217486,0,662.173223434693,1,1,sb_cb,3,2,0
0.675,fine,3,665.525920719941,16.808090566538,0,665.525920719941,1,1,sb_cb,3,2,0
0.7,coarse,3,662.71530041919,14.1676743361889,0,662.71530041919,1,1,sb_cb,3,2,0
0.8,coarse,3,664.780362133209,11.625478173909,0,664.780362133209,1,1,sb_cb,3,2,0
0.9,coarse,3,677.331151440548,25.7798918635117,0,677.331151440548,1,1,sb_cb,3,2,0
0.95,coarse,3,708.220269978042,57.2880735695598,0,708.220269978042,1,1,sb_cb,3,2,0
0.975,coarse,3,764.578356843436,113.76019332248,0,764.578356843436,1,1,sb_cb,3,2,0
1,coarse,3,6174.1950329991,5523.61012794732,0,6174.1950329991,0.824404761904762,0.473214285714286,sb_cb,3,2,0
0.01,coarse,3,1861.93150326036,78.7224762032567,1.92857142857143,1860.00293183179,1,1,sb_cb,3,3,0
0.025,coarse,3,1237.96339992681,12.808306574968,1.55357142857143,1236.40982849824,1,1,sb_cb,3,3,0
0.05,coarse,3,1065.62916278528,14.4417083279433,1.20535714285714,1064.42380564242,1,1,sb_cb,3,3,0
0.1,coarse,3,985.521475148047,22.8540825565273,0.803571428571428,984.717903719476,1,1,sb_cb,3,3,0
0.2,coarse,3,916.98454654335,17.0810097245688,0.589285714285714,916.395260829064,1,1,sb_cb,3,3,0
0.3,coarse,3,892.68757485528,13.0996542141769,0.0267857142857143,892.660789140994,1,1,sb_cb,3,3,0
0.325,fine,3,889.640391077251,12.8304382094658,0.0267857142857143,889.613605362965,1,1,sb_cb,3,3,1
0.35,fine,3,887.656451693393,13.7270125185453,0.0267857142857143,887.629665979107,1,1,sb_cb,3,3,0
0.375,fine,3,886.108298955353,12.8566984135596,0.0267857142857143,886.081513241067,1,1,sb_cb,3,3,0
0.4,coarse,3,883.7476753277,12.6958192763927,0,883.7476753277,1,1,sb_cb,3,3,0
0.425,fine,3,882.420416361701,12.8467786269393,0,882.420416361701,1,1,sb_cb,3,3,0
0.45,fine,3,881.06258733116,12.368957458247,0,881.06258733116,1,1,sb_cb,3,3,0
0.475,fine,3,880.239786412935,12.6333725882415,0,880.239786412935,1,1,sb_cb,3,3,0
0.5,coarse,3,879.153332723401,12.4956348474465,0,879.153332723401,1,1,sb_cb,3,3,0
0.6,coarse,3,886.342192594318,14.4817995786652,0,886.342192594318,1,1,sb_cb,3,3,0
0.7,coarse,3,893.576535364961,24.9428897685004,0,893.576535364961,1,1,sb_cb,3,3,0
0.8,coarse,3,894.370754042185,27.6321487203474,0,894.370754042185,1,1,sb_cb,3,3,0
0.9,coarse,3,894.035265154036,28.7231163415728,0,894.035265154036,1,1,sb_cb,3,3,0
0.95,coarse,3,900.091664448732,35.0919246903145,0,900.091664448732,1,1,sb_cb,3,3,0
0.975,coarse,3,1005.06770660057,140.368894974891,0,1005.06770660057,1,1,sb_cb,3,3,0
1,coarse,3,3863.23148579413,2998.88452100221,0,3863.23148579413,0.880952380952381,0.642857142857143,sb_cb,3,3,0
0.01,coarse,3,2086.29124941779,61.9116458174142,1.41964285714286,2084.87160656065,1,1,sb_cb,3,4,0
0.025,coarse,3,1456.64220423847,27.319226391661,1.41964285714286,1455.22256138133,1,1,sb_cb,3,4,0
0.05,coarse,3,1302.17204654335,13.180653387342,1.41964285714286,1300.75240368621,1,1,sb_cb,3,4,0
0.1,coarse,3,1207.67041220307,33.7728736996755,1.33928571428571,1206.33112648879,1,1,sb_cb,3,4,0
0.2,coarse,3,1135.02963437354,17.5769038220009,0.5625,1134.46713437354,1,1,sb_cb,3,4,0
0.225,fine,3,1126.31838445672,18.7799809669002,0.5625,1125.75588445672,1,1,sb_cb,3,4,0
0.25,fine,3,1123.39790571562,19.1812432786128,0.5625,1122.83540571562,1,1,sb_cb,3,4,1
0.275,fine,3,1120.13954687604,19.8434813241109,0.5625,1119.57704687604,1,1,sb_cb,3,4,0
0.3,coarse,3,1117.91119668641,19.593312176256,0.5625,1117.34869668641,1,1,sb_cb,3,4,0
0.325,fine,3,1115.52029409808,19.6752570220777,0.5625,1114.95779409808,1,1,sb_cb,3,4,0
0.35,fine,3,1112.78494909841,19.855366969138,0.5625,1112.22244909841,1,1,sb_cb,3,4,0
0.375,fine,3,1117.80518081709,25.73837108095,0.5625,1117.24268081709,1,1,sb_cb,3,4,0
0.4,coarse,3,1118.69847461574,26.8837920378478,0.5625,1118.13597461574,1,1,sb_cb,3,4,0
0.5,coarse,3,1116.48386036995,26.5150651007779,0.5625,1115.92136036995,1,1,sb_cb,3,4,0
0.6,coarse,3,1103.86296909309,21.3309131758548,0.5625,1103.30046909309,1,1,sb_cb,3,4,0
0.7,coarse,3,1113.85196536696,25.7677680492059,0.5625,1113.28946536696,1,1,sb_cb,3,4,0
0.8,coarse,3,1142.72370916229,42.4143495696399,0.5625,1142.16120916229,1,1,sb_cb,3,4,0
0.9,coarse,3,1114.42136452858,27.0674730765782,0.5625,1113.85886452858,1,1,sb_cb,3,4,0
0.95,coarse,3,1219.70240451793,93.6211991819487,0.5625,1219.13990451793,1,1,sb_cb,3,4,0
0.975,coarse,3,1252.173988622,93.8504826541522,0.5625,1251.611488622,1,1,sb_cb,3,4,0
1,coarse,3,5611.24851243152,2617.63340933866,0.952380952380952,5610.29613147914,0.66703216374269,0.43859649122807,sb_cb,3,4,0
0.01,coarse,3,2334.83486509415,69.0920690860229,2.4375,2332.39736509415,1,1,sb_cb,3,5,0
0.025,coarse,3,1759.72556390977,43.0848103056912,2.4375,1757.28806390977,1,1,sb_cb,3,5,0
0.05,coarse,3,1526.3806016701,50.7247633186804,1.44642857142857,1524.93417309868,1,1,sb_cb,3,5,0
0.1,coarse,3,1426.04424362898,47.3610236123035,1.44642857142857,1424.59781505756,1,1,sb_cb,3,5,0
0.2,coarse,3,1382.63375390911,47.5782924701796,1.3125,1381.32125390911,1,1,sb_cb,3,5,0
0.225,fine,3,1382.2872571362,48.4079202875709,1.17857142857143,1381.10868570763,1,1,sb_cb,3,5,0
0.25,fine,3,1368.72297308537,39.7851136734705,1.17857142857143,1367.5444016568,1,1,sb_cb,3,5,1
