variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
batch_clear,1,5,990,0.6,5,1447.10688157955,40.2765586243422,4.57411764705882,8.96527058823529,1442.53276393249,33.7068195973553,2045.16,1,1,0,0.997647058823529,2.27373675443232e-13
baseline,1,6,1188,0.6,5,1663.60692571321,32.6271402878936,5.97176470588235,11.7046588235294,1657.63516100733,31.9622958600578,2348.1,1,1,0,1.02352941176471,0
fast_first,1,6,1188,0.5,5,1524.80563327754,27.6203924158171,3.64235294117647,7.13901176470588,1521.16328033636,20.8276219077367,1830.24,1,1,0,1.01423104181432,0
unslotted,1,6,1188,0.25,5,1469.4379005191,44.3792902974415,7.08039171576746,13.8775677629042,1462.35750880333,34.5878713212526,1828.71071865719,1,1,0,1.02999596300317,0
batch_clear,1,6,1188,0.55,5,1688.79157799008,29.4081307221652,5.50588235294118,10.7915294117647,1683.28569563714,24.2700307911399,2390.49,1,1,0,1.01187810063785,0
baseline,3,1,198,0.55,5,680.986004873725,12.7648847033178,0.785042016806723,0.956828682260953,680.200962856918,11.9972516674802,1301.22,1,1,0,1.04871378563352,0
fast_first,3,1,198,0.5,5,516.212329920515,6.28880372364206,0.361512605042017,0.654394607468412,515.850817315473,6.54062521782911,601.02,1,1,0,1.04917829817766,0
unslotted,3,1,198,0.25,5,497.039916919193,49.1637982601334,0.296470588235294,0.581082352941177,496.743446330958,49.4813339558359,731.819188003356,1,1,0,1.08490346957968,0
batch_clear,3,1,198,0.6,5,643.11854263512,10.4081678385295,0.527899159663866,0.674762108944938,642.590643475456,11.0626291332925,1128.87,1,1,0,1.0425970246502,1.13686837721616e-13
baseline,3,2,396,0.55,5,894.595168709028,20.7192549091596,0.940336134453782,1.13107620001581,893.654832574574,20.1226531135043,1479.78,1,1,0,1.03723347285052,0
fast_first,3,2,396,0.5,5,726.763184716856,8.63276451006167,0.773949579831933,0.986491991770328,725.989235137024,9.2730629468874,922.59,1,1,0,1.04682525513994,1.13686837721616e-13
unslotted,3,2,396,0.25,5,723.780789259315,82.5694418913572,0.527394957983193,0.860455057525238,723.253394301332,82.9858014350473,1339.33420179534,1,1,0,1.09613271541585,1.13686837721616e-13
batch_clear,3,2,396,0.6,5,861.325357782657,21.6917038909456,1.44756302521008,1.75544388637196,859.877794757446,22.9958807339239,1433.16,1,1,0,1.04561635908677,1.13686837721616e-13
baseline,3,3,594,0.55,5,1104.43332753665,28.750653239786,2.6763025210084,3.85670949954432,1101.75702501564,28.3144526901721,1742.67,1,1,0,1.0174999778257,2.27373675443232e-13
fast_first,3,3,594,0.475,5,946.067852788475,9.75966996752047,1.45865546218487,1.7681816180652,944.60919732629,10.7948153307782,1318.86,1,1,0,1.05025873153479,0
unslotted,3,3,594,0.25,5,918.80316052817,40.6765391312295,1.15915966386555,1.3938851261044,917.644000864304,41.8753646718686,1525.50857272875,1,1,0,1.09079120145684,1.13686837721616e-13
batch_clear,3,3,594,0.6,5,1078.78093301943,22.1442736191623,1.94672268907563,2.39429874661198,1076.83421033036,24.2635913200304,1735.65,1,1,0,1.03671944662876,0
baseline,3,4,792,0.6,5,1314.18347670081,28.4864447166539,3.66352941176471,5.42823317188056,1310.51994728904,24.1073014953162,2088.45,1,1,0,1.05515253573381,2.27373675443232e-13
fast_first,3,4,792,0.5,5,1180.60724872879,19.9799549775122,2.44588235294118,3.20906508080967,1178.16136637585,21.7804747805833,1739.16,1,1,0,1.07817798508328,0
unslotted,3,4,792,0.25,5,1172.48789800248,60.1487074991628,5.09832462867405,8.25275499169519,1167.38957337381,62.6832387518218,1906.14563638352,1,1,0,1.10591574046662,0
batch_clear,3,4,792,0.55,5,1339.68781157544,27.323644463877,3.9963025210084,6.05690500128589,1335.69150905443,30.000684173342,2210.49,1,1,0,1.06617496303812,2.27373675443232e-13
baseline,3,5,990,0.55,5,1586.79502380138,33.3233733416956,3.76588235294118,5.34895177023282,1583.02914144844,37.6043288185245,2508.21,1,1,0,1.0774921428345,2.27373675443232e-13
fast_first,3,5,990,0.5,5,1409.18815973386,20.4673389081467,4.81714285714286,7.31994334404304,1404.37101687672,22.0387005464455,2164.59,1,1,0,1.066718791166,0
unslotted,3,5,990,0.25,5,1385.70310306892,64.2589976196698,6.36358504037973,10.3716400032414,1379.33951802854,67.3586729171559,2352.46262869126,1,1,0,1.09716066638949,2.27373675443232e-13
batch_clear,3,5,990,0.6,5,1546.80007357081,30.0738880776367,3.73068988885877,4.56663920265441,1543.06938368195,33.0017832768506,2481.12,1,1,0,1.07098277915421,0
baseline,3,6,1188,0.6,5,1801.49303176242,30.8093413652611,9.08143263757116,14.2138335360557,1792.41159912485,29.6364298986709,2977.56,1,1,0,1.09834292762814,4.54747350886464e-13
fast_first,3,6,1188,0.5,5,1660.79533159841,29.7738409766968,7.6061385199241,12.0129156350448,1653.18919307848,31.6408383333466,2600.28,1,1,0,1.08837629585224,0
unslotted,3,6,1188,0.25,5,1673.74107061921,83.1351966374364,8.38765336948641,13.6156992597534,1665.35341724972,86.1873728024451,2957.63721563985,1,1,0,1.13483602712945,0
batch_clear,3,6,1188,0.55,5,1842.44718827817,57.4653094552208,6.09524125779344,8.33786199557653,1836.35194702038,59.2421585295433,2968.83,1,1,0,1.0875674845485,0
baseline,5,1,198,0.55,5,698.712948939233,14.1152649842213,0.611178939648403,0.680195115874093,698.101769999584,13.8597209456317,1318.23,1,1,0,1.07211585208556,2.27373675443232e-13
fast_first,5,1,198,0.5,5,535.200167426632,7.86052325186218,0.335220390425605,0.326874566299861,534.864947036207,7.64855215257043,741.599999999999,1,1,0,1.07784402479547,0
unslotted,5,1,198,0.25,5,539.322956193505,43.0243710320818,0.369799308177127,0.323379391638575,538.953156885328,42.9006051960655,1412.86826111161,1,1,0,1.12430679839436,1.13686837721616e-13
batch_clear,5,1,198,0.6,5,662.719548674351,14.5680703056235,0.754119472994413,1.03528601659748,661.965429201357,13.6597720405254,1228.14,1,1,0,1.05926628935471,0
baseline,5,2,396,0.55,5,932.478649315802,20.4816737146025,1.23615886581501,0.823173607396471,931.242490449987,20.3550517576287,1681.47,1,1,0,1.06993265203871,0
fast_first,5,2,396,0.5,5,767.021925442318,15.502857111661,0.774193281368559,0.726007055251832,766.24773216095,15.2856958629186,1136.61,1,1,0,1.10184380661708,1.13686837721616e-13
unslotted,5,2,396,0.5,5,760.039817526257,38.8006003334511,1.25437963529542,1.00526999604166,758.785437890961,39.1838982488088,1747.91625640751,1,1,0,1.19462812864217,1.13686837721616e-13
batch_clear,5,2,396,0.6,5,900.248660661407,21.7602102305225,1.97927502241843,1.7424461427491,898.269385638988,20.5934253071939,1588.5,1,1,0,1.09112141600048,0
baseline,5,3,594,0.55,5,1176.35836687423,40.6415922612957,3.26112947323653,3.30927059226786,1173.09723740099,37.8519957746242,1974.78,1,1,0,1.09621748662862,0
fast_first,5,3,594,0.5,5,1015.67091116379,20.0629444104858,1.8974472009753,1.2242189730299,1013.77346396282,19.4965884899612,1652.67,1,1,0,1.11857754424314,1.13686837721616e-13
unslotted,5,3,594,0.225,5,1051.57377452452,13.587806173339,1.95831760691416,1.30014850908194,1049.61545691761,14.3013349856271,2542.80687908652,1,1,0,1.1749044721695,2.27373675443232e-13
batch_clear,5,3,594,0.6,5,1164.28638648014,48.2662470404298,2.9933008258632,2.30964228864255,1161.29308565427,49.9961133942699,1994.67,1,1,0,1.15568825917314,0
baseline,5,4,792,0.6,5,1415.71541853594,40.6259424294245,4.17334276124573,2.58647258061363,1411.54207577469,41.3880397505324,2469.78,1,1,0,1.12754593818182,2.27373675443232e-13
fast_first,5,4,792,0.5,5,1270.2653889258,26.2253688924002,2.48673733103973,2.27259831740071,1267.77865159476,26.639395031495,2102.4,1,1,0,1.15033598982644,0
unslotted,5,4,792,0.225,5,1366.88921493125,91.2941153747452,5.50045410357312,3.59268768833606,1361.38876082767,89.8360669401448,3677.22298815436,1,1,0,1.201066322242,2.27373675443232e-13
batch_clear,5,4,792,0.55,5,1429.47016705585,25.2491036583203,6.80877598881834,4.96060548226431,1422.66139106703,26.8389986046726,2536.29,1,1,0,1.10541096307791,2.27373675443232e-13
baseline,5,5,990,0.55,5,1723.47068772629,29.0870010533515,6.2372094833749,4.75572217991699,1717.23347824292,30.8211618724753,3051.54,1,1,0,1.12479725059122,0
fast_first,5,5,990,0.5,5,1552.96533308224,37.9554956353142,4.14175977570868,3.27684616996646,1548.82357330653,38.6798263678896,2839.86,1,1,0,1.17365834217842,2.27373675443232e-13
unslotted,5,5,990,0.25,5,1678.94871418761,113.397528855988,7.75036623703089,5.83071959092326,1671.19834795058,117.696015849071,4410.2149463011,1,1,0,1.24312618018437,4.54747350886464e-13
batch_clear,5,5,990,0.6,5,1732.75264330241,49.4216655874396,8.45845098018628,6.86396317517064,1724.29419232222,48.8316686529465,3185.37,1,1,0,1.26291235155169,0
baseline,5,6,1188,0.6,5,2053.38064729201,104.333420251113,10.3947181298197,4.80519684533071,2042.98592916219,107.165889157372,3967.38,1,1,0,1.35733097360504,0
fast_first,5,6,1188,0.5,5,1872.35568410841,63.5802772901875,7.13091551600526,3.45677132778823,1865.22476859241,66.0226223688671,3813.57,1,1,0,1.23236431873198,0
