protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
s7_clean,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.009,maximum_effective_payload_throughput,0,3,0.129072,0.000977990900571167,0.129072,0.000977990900571167,3585.33333333333,27.1664139047546,651.878787878788,4.93934798268263,NaN,0.990610658068973,0.044919,0,0,70.654304,0
s7_busy,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.0223606797749979,maximum_effective_payload_throughput,0,3,0.0515033333333333,0.000733135489918323,0.0515033333333333,0.000733135489918323,1430.66666666667,20.3793926416968,260.121212121212,3.70534411667213,NaN,0.972908138904354,0.168336,1799,0.0647633333333333,245.5930603,0
sf_cf,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.025,fixed_theoretical_q,0,3,0.377429333333333,0.00229789537729155,0.377429333333333,0.00229789537729155,4659.66666666667,28.4556481407666,1906.22727272727,11.6409469666773,NaN,0.991060596679106,0.263979,NaN,NaN,5.1123699,0
sf_cb,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.025,fixed_theoretical_q,0,3,0.132786,0.00200048799686476,0.132786,0.00200048799686476,1639.33333333333,24.6973826773428,670.636363636364,10.1034747316402,NaN,0.980266609017617,0.229442333333333,NaN,NaN,1.8166981,0
sb_cf,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.00150633270753604,maximum_effective_payload_throughput,0,3,0.205304333333333,0.00339941048680175,0.205304333333333,0.00339941048680175,2534.66666666667,41.889825866326,1036.90909090909,17.1367469453151,NaN,0.982650613384901,0.202024,NaN,NaN,78.6014287,0
sb_cb,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.003,maximum_effective_payload_throughput,0,3,0.180927,0.00145602145753419,0.180927,0.00145602145753419,2233.66666666667,17.9755735498049,913.772727272727,7.35364372492021,NaN,0.980368926574027,0.0663303333333333,NaN,NaN,393.3603194,0
s7_clean,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.249131333333333,0.000600238422110565,0.249131333333333,0.000600238422110565,3076,7.92124569328167,1258.36363636364,3.24050960179706,NaN,0.989123663214464,0.047187,0,0,73.9606793,0
s7_busy,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.103788,0.00197512867307423,0.103788,0.00197512867307423,1281.33333333333,24.3843046058548,524.181818181818,9.97539733875877,NaN,0.969008649087488,0.187089,1524.66666666667,0.123498,227.2231615,0
sf_cf,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.025,fixed_theoretical_q,0,3,0.369860333333333,0.00570525715292287,0.369860333333333,0.00570525715292287,3161.33333333333,48.834208410817,1868.06060606061,28.8565776973011,NaN,0.990953114842308,0.268788,NaN,NaN,3.7369967,0
sf_cb,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.025,fixed_theoretical_q,0,3,0.184256333333333,0.00308253571518284,0.184256333333333,0.00308253571518284,1575,26.610804823104,930.681818181818,15.7245664863797,NaN,0.974659215782783,0.207242333333333,NaN,NaN,1.7300389,0
sb_cf,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.00112983096390975,maximum_effective_payload_throughput,0,3,0.199394333333333,0.00279992393385566,0.199394333333333,0.00279992393385566,1704.33333333333,24.0138885739991,1007.10606060606,14.190025066454,NaN,0.977296803411372,0.234925666666667,NaN,NaN,74.2364333,0
sb_cb,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.00261015721568254,maximum_effective_payload_throughput,0,3,0.236644666666667,0.00134654631059528,0.236644666666667,0.00134654631059528,2023,11.3160652761167,1195.40909090909,6.68676584497812,NaN,0.980191385405025,0.0552593333333333,NaN,NaN,382.0814677,0
s7_clean,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.324168,0.000152880000000008,0.324168,0.000152880000000008,2770.66666666667,1.30666666666667,1637.21212121212,0.772121212121104,NaN,0.987658604543437,0.042336,0,0,77.8408779,0
s7_busy,saturation_throughput,0.6,118.8,117,13,0.590909090909091,-1.8,0.0223606797749979,maximum_effective_payload_throughput,0,3,0.137982,0.000851199815789462,0.137982,0.000851199815789462,1179.33333333333,7.27521210076456,696.878787878788,4.29898896863356,NaN,0.964302086499636,0.145572,1613.66666666667,0.188799,327.0958489,0
sf_cf,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,3,0.368537333333333,0.00652057578158386,0.368537333333333,0.00652057578158386,1861.33333333333,32.9981844618424,1861.33333333333,32.9981844618424,NaN,0.97752427134691,0.263993333333333,NaN,NaN,2.1606143,0
sf_cb,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,3,0.271253333333333,0.00597060926594412,0.271253333333333,0.00597060926594412,1370,30.1738164639477,1370,30.1738164639477,NaN,0.979927411909226,0.193564666666667,NaN,NaN,1.5028719,0
sb_cf,saturation_throughput,1,198,198,22,1,0,0.000655038521807941,maximum_effective_payload_throughput,0,3,0.200244,0.00537894995314141,0.200244,0.00537894995314141,1011.33333333333,27.1664139047546,1011.33333333333,27.1664139047546,NaN,0.960473283366355,0.232781333333333,NaN,NaN,68.631368,0
sb_cb,saturation_throughput,1,198,198,22,1,0,0.00249804953296681,maximum_effective_payload_throughput,0,3,0.327137333333333,0.00424988768512508,0.327137333333333,0.00424988768512508,1652.33333333333,21.6587636868877,1652.33333333333,21.6587636868877,NaN,0.974122324447626,0.061683,NaN,NaN,336.7637931,0
s7_clean,saturation_throughput,1,198,198,22,1,0,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.448615666666667,0.000809538001688483,0.448615666666667,0.000809538001688483,2266,4.08006535895362,2266,4.08006535895362,NaN,0.978750542460135,0.033663,0,0,82.4597229,0
s7_busy,saturation_throughput,1,198,198,22,1,0,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.194304,0.00357324073143694,0.194304,0.00357324073143694,981.333333333333,18.0466703607926,981.333333333333,18.0466703607926,NaN,0.970440398032996,0.150549,1373,0.271854,317.8200252,0
sf_cf,saturation_throughput,2,396,396,44,2,0,0.025,fixed_theoretical_q,0,3,0.375929333333333,0.0122864351268616,0.375929333333333,0.0122864351268616,949.333333333333,31.0384907995075,1898.66666666667,62.076981599015,NaN,0.965159492074148,0.252106666666667,NaN,NaN,0.9114253,0
sf_cb,saturation_throughput,2,396,396,44,2,0,0.025,fixed_theoretical_q,0,3,0.416512666666667,0.0162370602499399,0.416512666666667,0.0162370602499399,1052,40.6591752662709,2104,81.3183505325418,NaN,0.972409874420663,0.161832,NaN,NaN,1.1113971,0
