condition_tag,phase,q,grid_stable_fraction,mean_delay_us,mean_goodput_pkt_s,mean_backlog_slope_pkt_s,rate_screen_rejected_fraction,run_index,run_stable,n_arrived,n_departures_window,n_censored,final_backlog,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,backlog_slope_pkt_s,completion_ratio,tuning_rate_screen_rejected,failure_reason
s7_busy_fixed_packet_lam10_M3,refined,0.4,1,4546.35441668196,423,-1.38398938398939,0,2,1,419,418,0,0,419,418,0.00238663484486874,2.66169866169866,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.4,1,4546.35441668196,423,-1.38398938398939,0,3,1,418,419,0,0,418,419,0.00239234449760766,2.76719076719077,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.5,1,4080.93305896903,423.666666666667,2.05755805755806,0,1,1,430,432,0,0,430,432,0.00465116279069767,0.981552981552982,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.5,1,4080.93305896903,423.666666666667,2.05755805755806,0,2,1,419,420,0,0,419,420,0.00238663484486874,3.55933555933556,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.5,1,4080.93305896903,423.666666666667,2.05755805755806,0,3,1,418,419,0,0,418,419,0.00239234449760766,1.63178563178563,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.6,1,4831.30647416196,422.333333333333,-0.616416616416616,0,1,1,430,431,0,0,430,431,0.00232558139534884,-5.65892965892966,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.6,1,4831.30647416196,422.333333333333,-0.616416616416616,0,2,1,419,419,0,0,419,419,0,2.06853806853807,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.6,1,4831.30647416196,422.333333333333,-0.616416616416616,0,3,1,418,417,0,0,418,417,0.00239234449760766,1.74114174114174,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.8,0,NaN,36,441.071049071049,1,1,0,430,0,430,444,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,0.8,0,NaN,36,441.071049071049,1,2,0,419,108,314,314,419,108,0.742243436754177,446.451002451002,0.250596658711217,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,0.8,0,NaN,36,441.071049071049,1,3,0,418,0,418,468,418,0,1,449.668445668446,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,1,0,NaN,0.333333333333333,441.071049071049,1,1,0,430,0,430,524,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,1,0,NaN,0.333333333333333,441.071049071049,1,2,0,419,0,419,504,419,0,1,446.451002451002,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,1,0,NaN,0.333333333333333,441.071049071049,1,3,0,418,1,417,494,418,1,0.997607655502392,449.668445668446,0.00239234449760766,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M4,coarse,0.005,0,NaN,233,199.577227577228,1,1,0,430,233,263,263,430,233,0.458139534883721,199.577227577228,0.388372093023256,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M4,coarse,0.01,0,NaN,329,92.4747924747925,1,1,0,430,329,152,152,430,329,0.234883720930233,92.4747924747925,0.646511627906977,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M4,coarse,0.025,1,81455.1697674419,428,-5.04838104838105,0,1,1,430,428,0,0,430,428,0.00465116279069767,-5.04838104838105,1,0,stable
s7_busy_fixed_packet_lam10_M4,coarse,0.05,1,38454.2581395349,431,-9.94168594168595,0,1,1,430,431,0,0,430,431,0.00232558139534884,-9.94168594168595,1,0,stable
s7_busy_fixed_packet_lam10_M4,coarse,0.1,1,16722.5023255814,431,0.946212946212948,0,1,1,430,431,0,0,430,431,0.00232558139534884,0.946212946212948,1,0,stable
s7_busy_fixed_packet_lam10_M4,coarse,0.2,1,11939.6930232558,432,-18.9032349032349,0,1,1,430,432,0,0,430,432,0.00465116279069767,-18.9032349032349,1,0,stable
s7_busy_fixed_packet_lam10_M4,coarse,0.5,0,NaN,219,423.856143856144,1,1,0,430,219,215,215,430,219,0.490697674418605,423.856143856144,0.5,1,rate+censor+slope
