n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
248,248,0,1,1178.45564516129,0,1178.45564516129,1636.2,1.08064516129032,0,1,1,fast_first,3,4,792,0.5,3,1980,1
238,238,0,1,1174.68907563025,8.20588235294118,1166.48319327731,1870.2,1.05882352941176,0,1,1,fast_first,3,4,792,0.5,4,1386,1
218,218,0,1,1214.13302752294,0,1214.13302752294,1920.6,1.11926605504587,0,1,1,fast_first,3,4,792,0.5,5,2772,1
233,233,0,1,1098.50214592275,0,1098.50214592275,1600.65,1.03004291845494,0,1,1,unslotted,3,4,792,0.01,1,108,1
255,255,0,1,1067.89411764706,3.81176470588235,1064.08235294118,1550.25,1.02745098039216,0,1,1,unslotted,3,4,792,0.01,2,135,1
248,248,0,1,1070.0564516129,0,1070.0564516129,1611,1.03225806451613,0,1,1,unslotted,3,4,792,0.01,3,108,1
238,238,0,1,1094.33193277311,7.44957983193277,1086.88235294118,1722.6,1.02521008403361,0,1,1,unslotted,3,4,792,0.01,4,72,1
218,218,0,1,1150.14220183486,0,1150.14220183486,1782,1.03669724770642,0,1,1,unslotted,3,4,792,0.01,5,918,1
233,233,0,1,1589.56223175966,0,1589.56223175966,2474.55,1.08583690987124,0,1,1,baseline,3,5,990,0.55,1,2574,1
255,255,0,1,1555.23529411765,4.8,1550.43529411765,2430,1.0078431372549,0,1,1,baseline,3,5,990,0.55,2,198,1
248,248,0,1,1601.60080645161,0,1601.60080645161,2610.9,1.04838709677419,0,1,1,baseline,3,5,990,0.55,3,1188,1
238,238,0,1,1546.56302521008,14.0294117647059,1532.53361344538,2293.2,1.02521008403361,0,1,1,baseline,3,5,990,0.55,4,594,1
218,218,0,1,1641.01376146789,0,1641.01376146789,2732.4,1.22018348623853,0,1,1,baseline,3,5,990,0.55,5,4158,1
233,233,0,1,1592.11158798283,0,1592.11158798283,2705.85,1.14592274678112,0,1,1,batch_clear,3,5,990,0.6,1,4356,1
255,255,0,1,1507.87058823529,4.8,1503.07058823529,2355.75,1.03529411764706,0,1,1,batch_clear,3,5,990,0.6,2,1188,1.00357142857143
248,248,0,1,1532.93951612903,1.48790322580645,1531.45161290323,2341.8,1.04032258064516,0,1,1,batch_clear,3,5,990,0.6,3,990,1
238,238,0,1,1529.09243697479,12.3655462184874,1516.7268907563,2512.8,1.04621848739496,0,1,1,batch_clear,3,5,990,0.6,4,1980,1.00369003690037
218,218,0,1,1571.98623853211,0,1571.98623853211,2489.4,1.08715596330275,0,1,1,batch_clear,3,5,990,0.6,5,1782,1
233,233,0,1,1406.00858369099,0,1406.00858369099,2155.95,1.07725321888412,0,1,1,fast_first,3,5,990,0.5,1,2376,1
