protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,15,5,3,594,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2449020,2307933,0.942390425557978,29,142,0,4128,0.830409356725146,0,4128,239,80,23,68,142,0,NaN,NaN,29,7,NaN,43,86,0,43,86,744,84,6,21,2,0,29760,29704,3,53,0,2,29016,28962,54,7,124,120,19602,163.35,2,1584,792,3348,2709,3348
sb_cb,fixed_payload,15,3.75,4,792,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2140156,2019101,0.94343636632096,17,128,0,2734,0.882758620689655,0,2734,212,66,52,27,128,0,NaN,NaN,21,19,NaN,13,26,0,13,26,516,26,6,21,3,0,20640,20598,5,37,0,1,20124,20083,41,19,70,66,10593,160.5,3,2970,990,3564,3195,3564
sb_cb,fixed_payload,15,3,5,990,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2240252,2115478,0.944303587275003,6,119,0,2245,0.952,0,2245,162,29,72,24,119,0,NaN,NaN,13,19,NaN,15,30,0,15,30,447,30,6,21,3,0,17880,17848,4,28,0,0,17433,17401,32,19,65,62,10314,166.354838709677,3,3564,1188,4086,3600,4086
sb_cb,fixed_payload,15,2.5,6,1188,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2103126,1995810,0.948973100042508,0,74,0,1920,1,0,1920,93,5,29,40,74,0,NaN,NaN,14,5,NaN,27,54,0,27,54,358,52,6,21,1,0,14320,14293,1,26,0,0,13962,13935,27,5,72,71,11349,159.845070422535,1,1386,1386,2466,2034,2466
sb_cb,fixed_payload,5,5,1,198,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1172866,1092290,0.931299909793617,31,102,0,4404,0.766917293233083,0,4404,173,79,13,41,102,0,NaN,NaN,17,3,NaN,15,31,0,15,31,743,31,6,21,3,0,29720,29686,3,31,0,0,28977,28943,34,3,54,51,7623,149.470588235294,3,1188,396,1512,1260,1512
sb_cb,fixed_payload,5,2.5,2,396,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,872632,820631,0.94040901548419,0,37,0,1623,1,0,1623,48,10,10,17,37,0,NaN,NaN,8,2,NaN,10,20,0,10,20,358,20,6,21,1,0,14320,14307,1,12,0,0,13962,13949,13,2,31,30,4752,158.4,1,594,594,936,774,936
sb_cb,fixed_payload,5,1.66666666666667,3,594,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,728636,685650,0.941004836434104,0,24,0,1037,1,0,1037,28,2,12,10,24,0,NaN,NaN,3,3,NaN,11,22,0,11,22,221,22,6,21,1,0,8840,8830,1,9,0,0,8619,8609,10,3,29,28,4860,173.571428571429,1,792,792,1098,882,1098
sb_cb,fixed_payload,5,1.25,4,792,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,847214,797994,0.941903698475238,0,4,0,920,1,0,920,4,0,0,4,4,0,NaN,NaN,1,0,NaN,6,12,0,6,12,204,12,6,21,0,0,8160,8160,0,0,0,0,7956,7956,0,0,13,13,2268,174.461538461538,0,0,NaN,234,144,234
sb_cb,fixed_payload,5,1,5,990,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,696112,659104,0.946836141310594,0,3,0,592,1,0,592,3,3,0,0,3,0,NaN,NaN,0,0,NaN,0,0,0,0,0,139,0,6,21,0,0,5560,5560,0,0,0,0,5421,5421,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,0.833333333333333,6,1188,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,668724,633824,0.947811055084011,0,0,0,495,NaN,0,495,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,114,0,6,21,0,0,4560,4560,0,0,0,0,4446,4446,0,0,0,0,0,NaN,0,0,NaN,0,0,0
