protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,10,1.66666666666667,6,1188,0.9,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1607526,1525258,0.948823222765915,3,55,0,1586,0.948275862068966,0,1586,68,15,0,43,55,0,NaN,NaN,6,0,NaN,60,122,0,60,122,273,120,6,21,0,0,10920,10913,0,7,0,0,10647,10640,7,0,126,126,21888,173.714285714286,0,0,NaN,2268,1485,2268
sb_cb,fixed_payload,15,15,1,198,0.189148321800635,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3453028,3213900,0.930748317129198,414,2351,0,20297,0.850271247739602,0,20297,3969,1424,473,868,2351,0,NaN,NaN,325,82,NaN,116,239,0,116,239,2190,206,6,21,61,0,87600,86791,77,732,0,17,85410,84618,792,90,691,613,90423,147.508972267537,61,24156,396,23112,20385,23112
sb_cb,fixed_payload,15,7.5,2,396,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2679310,2518776,0.940083827552616,29,275,0,6391,0.904605263157895,0,6391,426,155,51,98,275,0,NaN,NaN,50,16,NaN,32,64,0,32,64,1101,62,6,21,5,0,44040,43933,7,100,0,3,42939,42835,104,17,136,128,19251,150.3984375,5,2970,594,4284,3699,4284
sb_cb,fixed_payload,15,5,3,594,0.55,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2276656,2147371,0.943212764686452,18,148,0,3675,0.891566265060241,0,3675,233,49,46,71,148,0,NaN,NaN,24,14,NaN,39,77,0,39,77,691,73,6,21,3,0,27640,27591,5,44,0,1,26949,26901,48,14,115,111,17811,160.459459459459,3,2376,792,3780,3123,3780
sb_cb,fixed_payload,15,3.75,4,792,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2095458,1981750,0.945735967984087,7,101,0,2740,0.935185185185185,0,2740,141,19,16,73,101,0,NaN,NaN,14,8,NaN,76,156,0,76,156,503,154,6,21,1,0,20120,20104,2,14,0,0,19617,19601,16,8,177,176,30411,172.789772727273,1,990,990,3960,2844,3960
sb_cb,fixed_payload,15,3,5,990,0.25625,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2123780,2016631,0.949547975779035,0,137,0,2835,1,0,2835,156,16,97,24,137,0,NaN,NaN,12,12,NaN,1,2,0,1,2,424,2,6,21,3,0,16960,16933,3,24,0,0,16536,16509,27,12,29,26,4032,155.076923076923,3,3564,1188,3438,3213,3438
sb_cb,fixed_payload,15,2.5,6,1188,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2060736,1954650,0.948520334482437,8,40,0,1758,0.833333333333333,0,1758,60,22,0,26,40,0,NaN,NaN,11,0,NaN,12,24,0,12,24,351,24,6,21,0,0,14040,14028,0,12,0,0,13689,13677,12,0,35,35,5175,147.857142857143,0,0,NaN,630,495,630
sb_cb,fixed_payload,5,5,1,198,0.775,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1087272,1013161,0.931837663436564,17,50,0,3058,0.746268656716418,0,3058,92,30,19,18,50,0,NaN,NaN,12,2,NaN,11,22,0,11,22,689,22,6,21,2,0,27560,27525,3,32,0,0,26871,26836,35,2,38,36,5634,156.5,2,792,396,1044,873,1044
sb_cb,fixed_payload,5,2.5,2,396,0.85,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,856854,805605,0.940189343808864,4,38,0,1669,0.904761904761905,0,1669,64,24,0,18,38,0,NaN,NaN,8,2,NaN,25,50,0,25,50,351,50,6,21,0,0,14040,14027,1,12,0,0,13689,13676,13,2,60,60,10062,167.7,0,0,NaN,1080,738,1080
sb_cb,fixed_payload,5,1.66666666666667,3,594,0.9,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,900906,850552,0.94410737635225,0,30,0,1266,1,0,1266,35,13,0,17,30,0,NaN,NaN,5,0,NaN,21,42,0,21,42,273,40,6,21,0,0,10920,10909,0,11,0,0,10647,10636,11,0,45,45,7524,167.2,0,0,NaN,810,567,810
sb_cb,fixed_payload,5,1.25,4,792,0.9,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,759982,720770,0.948404041148343,4,7,0,803,0.636363636363636,0,803,12,9,0,2,7,0,NaN,NaN,2,0,NaN,6,12,0,6,12,183,12,6,21,0,0,7320,7319,0,1,0,0,7137,7136,1,0,14,14,2277,162.642857142857,0,0,NaN,252,144,252
