protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
s7_busy,saturation_throughput,2,325,325,36.1111111111111,2,0,0.0341995189335339,maximum_effective_payload_throughput,0,3,0.351758333333333,0.00595669747240682,0.351758333333333,0.00595669747240682,2164.66666666667,36.6565998301958,4329.33333333333,73.3131996603916,NaN,0.967224549542533,0.0765132999999217,1458.33333333333,0.236955766666667,65.9049408,0
s7_clean,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.0124902476648341,maximum_effective_payload_throughput,0,3,0.753182266666667,0.00174820522465806,0.753182266666667,0.00174820522465806,4636,9.8,13908,29.4,NaN,0.974008214568729,0.0113741999999881,0,0,28.4007319,0
s7_busy,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.0341995189335339,maximum_effective_payload_throughput,0,3,0.418624633333333,0.010263651580301,0.418624633333333,0.010263651580301,2577,63.6019244991848,7731,190.805773497554,NaN,0.954656215085295,0.0626648999999351,1181.33333333333,0.191946133333333,58.1279109,0
s7_clean,saturation_throughput,4,650,650,72.2222222222222,4,0,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.802110066666667,0.000937351657194064,0.802110066666667,0.000937351657194064,4937.33333333333,6.91423009291546,19749.3333333333,27.6569203716619,NaN,0.963888896636258,0.00768069999999194,0,0,27.2222211,0
s7_busy,saturation_throughput,4,650,650,72.2222222222222,4,0,0.05,maximum_effective_payload_throughput,0,3,0.468708733333333,0.00252292489541627,0.468708733333333,0.00252292489541627,2886.66666666667,14.5504242015291,11546.6666666667,58.2016968061165,NaN,0.950256865017742,0.0812925999999154,906,0.147225,49.4006999,0
s7_clean,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.0124902476648341,maximum_effective_payload_throughput,0,3,0.836581266666667,0.000528390824903075,0.836581266666667,0.000528390824903075,5150,5.65803263805833,25750,28.2901631902917,NaN,0.969649345354148,0.00753829999999201,0,0,26.8949602,0
s7_busy,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.0341995189335339,maximum_effective_payload_throughput,0,3,0.514401433333333,0.00826433964000686,0.514401433333333,0.00826433964000686,3168.33333333333,49.4336367713771,15841.6666666667,247.168183856885,NaN,0.948011257616798,0.0460841999999531,850,0.1381138,46.2394725,0
s7_clean,saturation_throughput,6,975,975,108.333333333333,6,0,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.858798266666667,0.00180756999757551,0.858798266666667,0.00180756999757551,5286,11.76,31716,70.56,NaN,0.959375566274187,0.0054734999999941,0,0,26.097048,0
s7_busy,saturation_throughput,6,975,975,108.333333333333,6,0,0.05,maximum_effective_payload_throughput,0,3,0.53885,0.0148162420674069,0.53885,0.0148162420674069,3316,91.176874260966,19896,547.061245565796,NaN,0.92140295271631,0.0627093999999353,701.333333333333,0.113931633333333,43.3267819,0
sf_cf,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.025,fixed_theoretical_q,0,3,0.371758333333333,0.00418907811391055,0.371758333333333,0.00418907811391055,2288,25.505115826699,2288,25.505115826699,NaN,0.983297198155588,NaN,NaN,NaN,0.5838281,0
sb_cf,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.000655038521807941,maximum_effective_payload_throughput,0,3,0.191966666666667,0.00173802323856092,0.191966666666667,0.00173802323856092,1181.33333333333,10.6955276219133,1181.33333333333,10.6955276219133,NaN,0.96988167865108,0.258314166666667,NaN,NaN,180.0028687,0
sf_cf,saturation_throughput,2,325,325,36.1111111111111,2,0,0.025,fixed_theoretical_q,0,3,0.374033333333333,0.0101749587768753,0.374033333333333,0.0101749587768753,2302,63.0051849718206,4604,126.010369943641,NaN,0.965538790947772,NaN,NaN,NaN,0.137802,0
sb_cf,saturation_throughput,2,325,325,36.1111111111111,2,0,0.000351064749729357,maximum_effective_payload_throughput,0,3,0.192291666666667,0.00165837634785085,0.192291666666667,0.00165837634785085,591.666666666667,5.10269645492568,1183.33333333333,10.2053929098514,NaN,0.939479339568594,0.300615,NaN,NaN,145.0033715,0
sf_cf,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.025,fixed_theoretical_q,0,3,0.3645,0.0167892823278225,0.3645,0.0167892823278225,2243.33333333333,103.220463948666,6730,309.661391845997,NaN,0.955926989312444,NaN,NaN,NaN,0.1026026,0
sb_cf,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.000225016218181544,maximum_effective_payload_throughput,0,3,0.198616833333333,0.00373396505876052,0.198616833333333,0.00373396505876052,407.666666666667,8.02829440859708,1223,24.0848832257912,NaN,0.894680992261455,0.274823333333333,NaN,NaN,141.6305611,0
sf_cf,saturation_throughput,4,650,650,72.2222222222222,4,0,0.025,fixed_theoretical_q,0,3,0.38335,0.00652197178773412,0.38335,0.00652197178773412,2359.33333333333,40.5066666666667,9437.33333333333,162.026666666667,NaN,0.935603761370103,NaN,NaN,NaN,0.0835644,0
sb_cf,saturation_throughput,4,650,650,72.2222222222222,4,0,0.000144224957030741,maximum_effective_payload_throughput,0,3,0.185499666666667,0.00759646883230477,0.185499666666667,0.00759646883230477,285.666666666667,12.0999026626021,1142.66666666667,48.3996106504082,NaN,0.882442851016932,0.223055,NaN,NaN,144.9469631,0
sf_cf,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.025,fixed_theoretical_q,0,3,0.365083333333333,0.012550588493285,0.365083333333333,0.012550588493285,2246.66666666667,77.2343907279077,11233.3333333333,386.171953639538,NaN,0.919414658519598,NaN,NaN,NaN,0.078041,0
sb_cf,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.000144224957030741,maximum_effective_payload_throughput,0,3,0.1925625,0.000919430303684472,0.1925625,0.000919430303684472,237,1.13160652761167,1185,5.65803263805833,NaN,0.83160930935619,0.315105,NaN,NaN,131.9763475,0
sf_cf,saturation_throughput,6,975,975,108.333333333333,6,0,0.025,fixed_theoretical_q,0,3,0.375333333333333,0.0207316008815314,0.375333333333333,0.0207316008815314,2310,127.082990207187,13860,762.497941243122,NaN,0.927498382576711,NaN,NaN,NaN,0.0623607,0
sb_cf,saturation_throughput,6,975,975,108.333333333333,6,0,7.40082804492285e-05,maximum_effective_payload_throughput,0,3,0.173323666666667,0.0113255674792294,0.173323666666667,0.0113255674792294,178,11.76,1068,70.56,NaN,0.801985325413313,0.144625,NaN,NaN,134.7016771,0
